sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-101418584#4,1171084338,1171084196,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,8.51614936458939,244.39781244855874,2590.91,2632.25,2583.23,2628.57
-101418587,1171084432,1171084338,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,28.82413446039961,236.5218283081084,2614.68,2647.97,2590.91,2632.25
-101418589,1171084202,1171084086,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,10.070079443579816,306.6423088546937,2757.51,2509.04,2749.43,2515.05
-101418591,1171084201,1171084234,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,12.712218531790665,167.69118353726435,2798.59,2517.17,2801.3,2504.75
-101418592,1171084344,1171084380,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,60.79053313148519,306.76140106670476,2485.77,2580.9,2437.54,2616.93
-101594809#0,1172926241,1172926260,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,242.86141553998732,315.89831068092434,3544.58,2949.64,3411.18,3087.29
-101594809#1,1172926171,1172926241,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,56.65852539556609,343.9865403899153,3560.21,2895.18,3544.58,2949.64
-101594826,1172926236,1172926247,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,144.9742824694192,211.69399336133648,2905.01,2835.34,2843.22,2735.27
-101594830,1172926250,1172926211,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,147.54886098968362,184.83168542286916,2977.51,2917.87,2965.2,2772.24
-101594836#0,1172926260,1172926188,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,51.59716088957651,323.611742441555,3411.18,3087.29,3381.68,3127.32
-101594836#1,1172926232,1172926260,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,154.1497097922076,343.302535834589,3455.47,2939.64,3411.18,3087.29
-101594843,1172926229,1929238581,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,80.18004139325924,328.08700124098766,3504.88,2842.63,3464.22,2907.92
-101599070,1172949639,1172949591,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,163.81241890344975,248.08068313701332,2581.15,3610.34,2432.14,3550.38
-101599072,1172926202,1172949652,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,78.36334056009015,253.8477138944928,3443.59,2918.77,3368.32,2896.97
-101599076#0,1617895855,1172949672,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,145.75086744585323,296.9434173838429,2825.57,3522.32,2696.98,3587.68
-101599076#1,1172949659,1617895855,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,5.681478680766139,282.8132059590397,2831.11,3521.06,2825.57,3522.32
-101599083#0,11047788076,1172949655,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,81.5548917880429,257.41403751212766,2672.4,3579.84,2592.81,3562.07
-101599083#1,1172949680,11047788076,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,7.920713351712506,254.70047089097895,2680.04,3581.93,2672.4,3579.84
-101600741#0,1172966009,534718083,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,118.47635924521002,277.69307260623714,2729.84,3352.51,2612.43,3368.37
-101600741#1,1172985102,1172966009,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,154.4665271183369,278.27068718985237,2882.7,3330.29,2729.84,3352.51
-101600741#2,1172985096,1172985102,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,28.027218913049758,273.6617723661847,2910.67,3328.5,2882.7,3330.29
-101600741#3,1172985047,1172985096,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,90.0393985986135,267.9187065620724,3000.65,3331.77,2910.67,3328.5
-101600741#4,1172966013,1172985047,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,59.05476199615281,268.719210179596,3059.69,3333.09,3000.65,3331.77
-101601551,1172985096,1172985063,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,107.40688805315564,358.4633729467736,2910.67,3328.5,2907.79,3435.86
-101601553#0,1172985090,1172985047,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,49.750578891104375,0.27639960629170446,3000.41,3282.02,3000.65,3331.77
-101601553#1,1162051794,1172985090,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,185.03206544983325,23.327457168934643,2939.61,3141.03,3000.41,3282.02
-101601557,1172985090,1172985104,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.44515673477273,152.58964190788674,3000.41,3282.02,3009.76,3263.99
-101601559,534718081,1172985101,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,113.55609499012135,264.0813883717864,2627.5,3320.05,2514.64,3308.35
-101601561,1172985047,1172985093,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,97.14050153838244,348.2987899854986,3000.65,3331.77,2981.43,3424.57
-101601563,1172966009,1172985083,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,54.00548305496427,176.59242154778826,2729.84,3352.51,2733.05,3298.6
-101601830,1172993700,1172993712,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,52.26626105912798,327.1746351653296,2572.08,2945.65,2545.58,2986.73
-101601831,1172993711,1172993763,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,231.579964281253,265.78108792934324,2688.18,3082.39,2458.81,3065.47
-101601832#0,7900125515,1172993753,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,90.44917818554227,291.23238341198476,2537.03,2942.47,2462.26,2971.52
-101601832#1,1172993700,7900125515,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,35.193961129716314,264.81588854788316,2572.08,2945.65,2537.03,2942.47
-101601832#2,1172993756,1172993700,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,144.61696564305856,250.3546819315783,2700.1,2991.35,2572.08,2945.65
-101604496#0,1173023737,1173023819,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,78.90589165383878,172.72637432279794,2793.67,3082.72,2803.66,3004.45
-101604496#1,1162051803,1173023737,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,63.9751795628697,143.6956528970088,2756.48,3133.34,2793.67,3082.72
-101604497,1173023819,1173023825,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,13.338804294238363,231.2999418196106,2803.66,3004.45,2793.25,2996.11
-101604499,1173023823,1161512966,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,58.84398162544179,245.2372144640555,2798.08,2838.56,2745.14,2814.14
-101604502,1173023737,1173023772,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,101.60311331863849,125.5585020185465,2793.67,3082.72,2858.72,3036.22
-101604503,1173023796,1173023822,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,33.37047347581389,261.2264247401345,2725.45,3055.37,2692.47,3050.28
-101604508,1173023823,1173023769,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,161.78632937136982,26.66594242672403,2798.08,2838.56,2852.79,2947.5
-101604511,1173023772,1173023845,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,12.345752305955147,234.09546159002562,2858.72,3036.22,2848.72,3028.98
-101604513#0,1173023796,1173023842,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,53.206000601436074,353.27569360815994,2725.45,3055.37,2719.22,3108.21
-101604513#1,1173023849,1173023796,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,57.22241693602248,353.2860685056621,2732.14,2998.54,2725.45,3055.37
-101604518,1173023772,1173023750,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,12.30205267424924,106.0925374855309,2858.72,3036.22,2870.54,3032.81
-101604521,1173023875,854696199,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,180.7843952957199,282.88516939970316,2702.16,2833.61,2529.27,2873.16
-101605219,1173027844,1173027927,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,350.76093284457517,236.31952172573202,2635.8,2749.02,2497.9,2657.12
-101605947#0,1173043032,1173042983,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,46.90866457664738,346.2397051740118,2345.32,2902.95,2334.3,2947.95
-101605947#1,4171701403,1173043032,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,93.59911339671393,338.9295267756369,2378.97,2815.61,2345.32,2902.95
-101605947#2,1173043020,4171701403,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,27.292727969186608,338.70927625580384,2388.88,2790.18,2378.97,2815.61
-101605948,1173043021,1173042905,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,129.57932453573216,66.37521749123039,2236.39,2616.1,2354.13,2667.6
-101605949,1173043032,1173043012,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,27.465660378006337,67.63688518108086,2345.32,2902.95,2370.72,2913.4
-101605950,1173042988,1173042914,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,37.063757229940826,342.50856904181796,2221.83,2705.28,2210.69,2740.63
-101605951#0,1173043021,1161680870,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,71.41985513547898,157.91703005709599,2236.39,2616.1,2263.24,2549.92
-101605951#1,1173042949,1173043021,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,68.43934632486763,164.977864851719,2218.78,2681.72,2236.39,2616.1
-101605951#2,1173042988,1173042949,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,23.904143245897238,187.37629889584449,2221.83,2705.28,2218.78,2681.72
-101605951#3,1173043020,1173042988,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,189.52270408696182,243.0589079367433,2388.88,2790.18,2221.83,2705.28
-101605951#4,1353867616,1173043020,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,2.8887713651309777,246.5409759185375,2391.53,2791.33,2388.88,2790.18
-101605951#5,1173043030,1353867616,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,85.36154415575265,221.43324658270996,2442.15,2848.68,2391.53,2791.33
-101606546,1173042949,1173049317,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,95.066502658321,237.38178532355892,2218.78,2681.72,2139.73,2631.13
-101606547#0,1173049317,1173049311,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,116.51014616977449,188.67875774385416,2139.73,2631.13,2125.98,2541.05
-101606547#1,1173049296,1173049317,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,5.065816814690478,131.39872188277445,2135.93,2634.48,2139.73,2631.13
-101606547#2,1173049308,1173049296,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,85.12545847144344,143.07290056804186,2085.38,2701.74,2135.93,2634.48
-101606549,1173049296,1173049282,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,47.6959641898554,245.9338359654248,2135.93,2634.48,2092.38,2615.03
-101607098#0,1173060679,1173060722,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,105.50735186319672,245.2013369728667,3318.71,3163.43,3222.96,3119.19
-101607098#1,5518678795,1173060679,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,63.706014565919396,249.41131901360745,3378.34,3185.83,3318.71,3163.43
-101607098#2,1173060728,5518678795,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,54.15859119290304,249.99248960446937,3429.23,3204.36,3378.34,3185.83
-101607101,1173060750,1173060688,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,48.47452191104365,100.91026735037292,3164.79,3190.83,3211.17,3181.89
-101607965,1173060728,1173080084,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,34.837946551837426,333.4717240293695,3429.23,3204.36,3413.67,3235.53
-101607966#0,1173080036,1173079957,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,179.21849847085974,246.09820410341933,3221.46,3323.34,3114.55,3275.96
-101607966#1,1173080042,1173080036,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,81.73036901771422,283.51412661257456,3300.39,3304.37,3221.46,3323.34
-101607967#0,1173100644,1173080080,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,34.47254704833983,271.5459124785747,3368.55,3291.45,3334.09,3292.38
-101607967#1,1173079961,1173100644,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,63.87661706355675,279.2965396980205,3431.35,3281.17,3368.55,3291.45
-101608824,1173100571,1173100644,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,76.7772906543788,190.590863196216,3382.48,3365.95,3368.55,3291.45
-101608827,1173100648,1173100704,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,92.9323759515491,8.589602718656124,3215.4,3403.18,3229.28,3495.07
-101608828,1173080036,1173100675,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,72.09425566576024,11.32707709891696,3221.46,3323.34,3235.62,3394.03
-101608956,1173104957,1173104961,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,45.64972018461846,336.6003375045536,3265.2,3501.74,3247.22,3543.29
-101608959,1173104959,1173104966,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,42.11121584566281,199.36003497726497,3117.59,3458.87,3103.63,3419.14
-101608960,1173104964,1173104954,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,40.45292696455966,325.83067830348415,3084.07,3547.46,3061.35,3580.93
-101609494#0,1173126293,1173126305,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,10.828854971786832,100.42788999542711,3469.26,3446.09,3479.91,3444.13
-101609494#1,1173126311,1173126293,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,36.91314129141559,100.45756080900401,3432.96,3452.79,3469.26,3446.09
-101609495,1173126293,1173126250,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,47.632446924338964,10.597487707163111,3469.26,3446.09,3478.02,3492.91
-101609498#0,1173104959,1173104964,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,131.8266614849575,339.27474694761025,3117.59,3458.87,3084.07,3547.46
-101609498#1,1173100648,1173104959,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,116.85922466034495,299.6558529596648,3215.4,3403.18,3117.59,3458.87
-101609498#2,1173100675,1173100648,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.778956778259676,294.34781025798327,3235.62,3394.03,3215.4,3403.18
-101609498#3,1173100571,1173100675,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,152.16484097032682,280.82445032912835,3382.48,3365.95,3235.62,3394.03
-101609498#4,1173100607,1173100571,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,66.26453287581333,216.58108139752005,3419.84,3416.29,3382.48,3365.95
-101609498#5,1173126245,1173100607,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,138.32114799676197,314.19280515724176,3512.33,3326.37,3419.84,3416.29
-101611066,1173132972,1173132978,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,51.69676708911752,113.65412944493971,3181.58,2894.48,3228.93,2873.74
-101611597#0,1173138528,1173138525,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,7.8783564275803135,259.2463197530616,3161.1,2995.75,3153.36,2994.28
-101611597#1,1173138499,1173138528,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,11.49388098076543,230.1178388504081,3169.92,3003.12,3161.1,2995.75
-101611598,1173138529,1173138500,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,93.43120396891138,343.75304128248604,3436.81,2793.7,3410.67,2883.4
-101611599,1173138504,1173138502,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,68.56227607073728,321.5437885656561,3266.47,2978.63,3223.83,3032.32
-101611600,1173138519,1173138528,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,88.47978534553624,324.0254802687914,3212.6,2924.8,3161.1,2995.75
-101611601,1173138521,1173138496,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,39.35119750296425,320.9630385921014,3336.67,3062.14,3315.75,3087.94
-101746498#0,1174770118,1174770056,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,167.70561397342178,4.777836462884579,2731.78,2078.44,2745.74,2245.46
-101746498#1,1174770088,1174770118,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,78.11346874899372,8.866618065844477,2719.74,2001.26,2731.78,2078.44
-101746498#2,1174770038,1174770088,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,231.3067703209433,359.6034180724901,2721.33,1771.55,2719.74,2001.26
-101746504,1174770097,1174770116,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,50.910828907021205,26.630480271411557,2814.15,1986.64,2836.97,2032.15
-101746508#0,1174770097,1174770175,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,120.96517239060158,89.45944303037868,2814.15,1986.64,2929.68,1987.73
-101746508#1,1174770088,1174770097,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,95.59196478196061,98.80270248198934,2719.74,2001.26,2814.15,1986.64
-101746512,1174770044,1174770041,2,highway.living_street,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,87.76366959055416,71.83549730446293,2798.04,2048.84,2881.43,2076.2
