origins,destinations,mask_0,mask_1,mask_2,mask_3
124812856#0,201238729#3,1,1,1,1
124812856#0,201956810,0,0,0,1
124812856#0,201956811#0,0,0,0,1
124812856#0,24634509#1,1,1,1,1
124812856#0,24634510#1,0,1,1,1
124812856#0,306240162#0,1,1,1,1
124812856#0,32978638#0,1,1,1,1
124812856#0,399835085#1,1,1,1,1
124812856#1,201956810,0,0,0,1
128361102#0,-23525483#5,1,1,1,1
128361102#0,-24634517#17,1,1,1,1
128361102#0,-24634517#7,1,1,1,1
128361102#0,-266565295#5,1,1,1,1
128361102#0,-83304175#2,1,1,1,1
128361102#0,160314345#5,1,1,1,1
128361102#0,18809673#0,1,1,1,1
128361102#0,201956811#0,1,1,1,1
128361102#0,201956820,1,1,1,1
128361102#0,202070434#0,1,1,1,1
128361102#0,25187889,1,1,1,1
128361102#0,30482615#1,1,1,1,1
128361109#1,-22724699#1,1,1,1,1
128361109#1,-24634510#5,1,1,1,0
128361109#1,-266565295#5,1,1,1,1
128361109#1,-26677213#5,1,1,1,1
128361109#1,-315358242#0,1,1,1,1
128361109#1,-315358244,1,1,1,1
128361109#1,-315358254#1,1,1,1,1
128361109#1,176550249#4,1,1,1,1
128361109#1,201201953#10,1,1,1,1
128361109#1,24634411,1,1,1,1
128361109#1,24634509#1,1,1,1,1
128361109#1,26677214#4,1,1,1,1
128361109#1,272042145,1,1,1,1
128361109#1,32978638#0,1,1,1,1
128361109#1,386687235,1,1,1,1
128361109#1,399835085#1,0,1,1,1
128361109#1,40888354#0,1,1,1,1
128361109#3,386687235,1,1,1,1
129379925,386687235,1,1,1,1
136436468#0,-315358244,1,1,1,1
160314346#0,-315358244,1,1,1,1
168702040#1,-25145014#0,1,1,1,1
173203413#0,201956811#0,1,1,1,1
173203413#0,306240162#0,1,1,1,1
176550249#0,-24634506#2,1,1,1,1
176550249#0,272042145,1,1,1,1
176550249#1,18809673#0,1,0,1,1
176550249#1,201238729#3,1,1,1,1
176550249#1,386687235,1,1,1,1
176550249#1,4942376,1,1,1,1
176550249#3,201238729#3,1,1,1,1
176550249#3,272042145,1,1,1,1
176550249#4,272042145,1,1,1,1
176550249#4,386687235,1,1,1,1
18809672#7,386687235,1,1,1,1
18813598#2,-315358254#1,1,1,1,1
201089423#0,-315358244,1,1,1,1
201143840,201956820,1,1,1,1
201201935#0,-201963522#3,1,1,1,1
201201935#0,-32395288#1,1,1,1,1
201201945#0,32978638#0,1,1,1,1
201201945#3,201238729#3,1,1,1,1
201201945#3,32978638#0,1,1,1,1
201201950#1,32978638#0,1,0,1,1
201201950#3,32978638#0,1,1,1,1
201201953#0,201956820,1,1,1,1
201201953#10,201956811#0,1,0,1,1
201201953#4,-266565295#5,1,1,1,1
201238718#0,201956820,1,1,1,0
201238719#0,32978638#0,0,1,1,1
201238724,32978638#0,1,1,1,1
201238726#0.117,386687235,1,1,1,1
201950247#3,32978638#0,1,1,1,1
201950247#7,201238729#3,1,1,1,1
201950250#1,-315358244,1,1,1,1
201950259#0,-315358254#1,1,1,1,1
201950263#0,32978638#0,1,1,1,1
201950263#7,32978638#0,1,1,1,1
201950263#7,386687235,1,1,1,1
201963533#5,-315358254#1,1,1,1,1
218647954,-201950247#5,1,1,1,1
224892339#0,386687235,1,1,1,1
224892361#2,-315358254#1,0,1,1,0
22716069#0,24634517#13,1,1,1,1
22724699#3,-315358254#1,1,1,1,1
22724699#7,201956820,1,1,1,1
22879845,-128361102#1,1,1,1,1
22879845,-315358254#1,1,1,1,1
23166741#2,201238729#3,1,1,1,1
23166741#5,272042145,1,1,1,1
23436553#4,-128361102#1,1,1,1,1
23525483#7,-128361102#1,1,1,1,1
24599188#0.94,-10427692#3,1,1,1,1
24599188#0.94,-201238718#0,1,1,1,1
24599188#0.94,-201238724,1,1,1,1
24599188#0.94,-24634507,1,0,0,1
24599188#0.94,-315358244,1,1,1,1
24599188#0.94,-315358254#1,1,1,1,1
24599188#0.94,-379510292,1,1,1,1
24599188#0.94,201201950#1,1,1,1,1
24599188#0.94,201238729#3,1,1,1,1
24599188#0.94,22724699#7,1,1,1,1
24599188#0.94,306240162#0,1,1,1,1
24599188#0.94,399835085#1,1,1,1,1
24608844,32978638#0,0,0,0,1
24608845,306240162#0,1,1,1,1
24608846#0,18809673#0,1,1,1,1
24634411,306240162#0,1,1,1,1
24634411,32978638#0,1,1,1,1
24634414#5,-266565295#5,0,0,0,1
24634416,32978638#0,1,1,0,0
24634417,386687235,1,1,1,0
24634506#0,201956820,1,1,1,1
24634507,-266565295#5,1,1,1,1
24634509#1,201238729#3,1,1,1,1
24634510#0,201956820,1,1,1,1
24634510#1,201956811#0,1,1,1,1
24634510#1,272042145,1,1,0,1
24634513#0,201238729#3,1,1,1,1
24634513#0,272042145,1,1,1,1
24634516#1,201956811#0,1,1,1,1
24634517#1,306240162#0,1,1,1,1
24634517#6,-128361102#1,1,1,1,1
24693977#1,201956820,1,1,1,1
25117391#0,399835085#1,0,1,1,1
25117391#2,32978638#0,1,1,1,1
25145014#0,306240162#0,1,1,1,1
25149001#4,-266565295#5,1,1,1,1
25149001#4,160314345#5,1,1,1,1
25190140#1,-128361102#1,1,1,1,1
25190140#1,18809673#0,1,1,1,1
266565295#5,-129379918#1,1,1,1,1
266565295#5,-170018165#3,1,1,1,1
266565295#5,-201201945#0,1,1,1,1
266565295#5,-201238724,1,1,1,1
266565295#5,-24634415,1,1,1,1
266565295#5,-24634506#2,1,1,1,1
266565295#5,-24693977#1,1,1,1,1
266565295#5,-25145011#0,1,1,1,1
266565295#5,-25145012#3,1,1,1,1
266565295#5,-25149001#4,1,1,1,1
266565295#5,-25187893,1,1,1,1
266565295#5,-26677542#1,1,1,1,1
266565295#5,-315358244,1,1,1,1
266565295#5,-315358254#1,1,1,1,1
266565295#5,18809673#0,1,1,1,1
266565295#5,201238729#3,1,1,1,1
266565295#5,22716549#0,1,1,1,1
266565295#5,24608845,1,1,1,1
266565295#5,24634411,1,1,1,1
266565295#5,24634510#1,1,1,1,1
266565295#5,24634511,1,1,1,1
266565295#5,28111977#9,1,1,1,1
266565295#5,30482615#1,1,1,1,1
266565295#5,306240162#0,1,1,1,1
266565295#5,32978638#0,0,0,0,1
26676668,272042145,1,1,1,1
26677213#0,386687235,1,1,1,1
26677214#0,32978638#0,1,1,1,1
26677214#4,-315358254#1,1,1,1,1
26677214#5,-24634413#0,1,1,1,1
26677216#3,201956820,1,1,1,1
26677542#1,386687235,1,1,1,1
272042143,-128361102#1,1,1,1,1
272042143,-26677216#0,1,0,1,1
272042143,-315358254#1,1,1,1,1
272042143,-32395361#1,1,1,1,1
272042143,170018165#2,1,1,1,1
272042143,176550249#4,1,1,1,1
272042143,201238729#3,1,1,1,1
272042143,201950247#6,1,0,1,1
272042143,224892361#3,0,1,1,1
272042143,24634414#1,1,1,1,1
272042143,306240162#0,1,1,1,1
272042143,399835085#1,1,1,1,1
272042143,40888359,1,1,1,1
28111977#8,-128361102#1,1,1,1,1
28319300#0,386687235,1,1,1,1
28319300#3,32978638#0,1,1,1,1
286646456#0,386687235,1,1,1,1
286646456#1,272042145,1,1,1,1
286646456#1,30482615#1,1,1,1,1
31395281,201956820,1,1,1,1
315358242#0,306240162#0,1,1,1,1
315358242#1,32978638#0,1,1,1,1
315358242#3,306240162#0,1,1,1,1
315358244,-160314345#0,1,1,1,1
315358244,-201238718#0,1,1,1,1
315358244,-201238718#1,1,1,1,1
315358244,-201238724,1,1,1,1
315358244,-24634413#2,1,1,1,1
315358244,-25149001#4,1,1,1,1
315358244,-266565295#5,1,1,1,1
315358244,-26677216#0,1,1,1,1
315358244,-26677416#1,1,1,0,1
315358244,-315358244,1,0,0,1
315358244,201956811#0,1,1,1,1
315358244,201956820,1,1,1,1
315358244,23166741#5,1,1,1,1
315358244,24634414#3,1,1,1,1
315358244,24634506#2,1,1,1,1
315358244,24634510#1,1,1,1,1
315358244,26677541,1,0,0,1
315358244,28319300#0,1,1,1,1
315358244,30482615#1,1,1,1,1
315358244,32978638#0,1,1,1,1
315358244,32999110#0,1,1,1,1
315358244,386687235,1,1,1,1
315358244,399835085#1,1,1,1,1
315358244,447569997#1,1,1,1,1
315358244,4942376,1,1,1,1
315358244,51857516#1,1,1,1,1
315358244,53396619#3,1,1,1,1
315358246,201956811#0,1,1,1,1
315358250#0,386687235,1,1,1,1
315358254#0,-201963522#9,1,1,1,1
315358254#0,-22724699#1,1,1,1,1
315358254#0,-24634510#5,1,1,1,1
315358254#0,-24634513#5,0,1,1,1
315358254#0,-26642362#1,0,1,1,1
315358254#0,-266565295#5,1,1,1,1
315358254#0,-28319300#2,1,1,1,1
315358254#0,-315358244,0,1,1,1
315358254#0,-315358254#1,1,0,0,1
315358254#0,-83304175#2,1,1,1,1
315358254#0,201089423#2,1,1,1,1
315358254#0,201201945#3,1,1,1,1
315358254#0,201201953#10,1,1,1,1
315358254#0,201238729#3,1,1,1,1
315358254#0,201950250#2,1,1,1,1
315358254#0,201956811#0,1,1,1,1
315358254#0,201956820,1,1,1,1
315358254#0,224892339#0,0,0,1,1
315358254#0,224892361#3,0,1,1,0
315358254#0,272042145,1,1,1,1
315358254#0,28319300#3,1,1,1,1
315358254#0,306240162#0,1,1,1,1
315358254#0,32978638#0,1,1,1,1
315358254#0,386687235,0,1,1,1
315358254#0,399835085#1,0,0,0,1
315358254#0,447569997#1,1,1,1,1
315358255#0,-315358254#1,0,0,0,1
315392062#0,272042145,1,1,1,1
315392062#0,32978638#0,1,1,1,1
315392062#0,386687235,1,1,0,1
31860333#0,-128361102#1,1,1,1,1
32395327#0,386687235,1,1,1,1
37681425#0,201956820,1,1,1,1
379897806,201956820,1,1,1,1
386687232#0,-22716549#6,1,1,1,1
386687232#0,-24634414#3,1,1,1,1
386687232#0,-24634417,1,1,1,1
386687232#0,-25117391#2,1,1,1,1
386687232#0,-315358244,1,1,1,1
386687232#0,-315358252#1,1,1,0,1
386687232#0,-315358254#1,1,1,1,1
386687232#0,-315392062#4,1,1,1,1
386687232#0,-40888354#2,1,1,1,1
386687232#0,129379968,1,1,1,1
386687232#0,18809673#0,1,1,1,1
386687232#0,201201950#1,1,1,1,1
386687232#0,201238729#1,1,1,1,1
386687232#0,201238729#3,1,1,1,1
386687232#0,201956810,1,1,1,1
386687232#0,224892339#0,1,1,1,1
386687232#0,26677213#0,1,1,1,1
386687232#0,26677539,1,0,1,1
386687232#0,306240162#0,1,1,1,1
386687232#0,315358255#0,1,1,1,1
386687232#0,32978638#0,1,1,1,1
386687232#0,399835085#1,1,1,1,1
386687232#0,447569997#1,1,1,1,1
399835085#1,-24634505,1,1,1,1
399835085#1,-315358254#1,1,0,0,1
399835085#1,18809673#0,1,1,1,1
399835085#1,201956820,1,1,1,1
399835085#1,24634509#1,1,1,1,1
399835085#1,26677541,1,1,1,1
399835085#1,306240162#0,1,1,1,1
399835085#1,32978638#0,0,1,1,1
399835085#1,386687235,1,1,1,1
40888354#1,-315358244,1,1,1,1
40888360#0,201238729#3,1,1,1,1
40888360#0,272042145,1,1,1,1
40888360#0,32978638#0,1,1,1,1
53396619#4,386687235,1,1,1,1
53396619#6,201956811#0,1,1,1,0
53396619#6,201956820,1,1,1,0
54169231#1,386687235,1,1,1,1
