sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-1057740880#0,9719108002,9719108008,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,180.9387947593059,252.20695176076458,4758.93,1392.64,4586.65,1337.35
-1057740880#1,9719108003,9719108002,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,18.848872645333433,252.33407585965665,4776.89,1398.36,4758.93,1392.64
-106219259,1222774761,1222774784,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,397.3283717627741,214.3570073497572,3826.52,739.84,3603.84,414.1
-1079723591,4983153143,9897114285,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,55.25198461710576,237.44609085235965,3081.19,1273.18,3034.62,1243.45
-1079723596,9897114298,9897114302,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,105.15828847655607,49.322202921707856,2866.43,1280.01,2938.51,1341.96
-1079723603,5263712552,1766536971,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,15.170843747135653,37.47418141738325,3185.9,1084.6,3195.13,1096.64
-1088466838#0,9972395432,9972369512,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,8.074187265602065,255.58511766168402,4167.22,2387.82,4159.4,2385.81
-1088466838#1,1663593028,9972395432,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,8.882184416008807,256.5895730365969,4175.86,2389.88,4167.22,2387.82
-1102935201,2511999113,2511999107,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,23.855282433876187,41.992568242624145,2731.97,1539.1,2747.93,1556.83
-1102935203,9719108000,10092616465,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,22.97222018003509,195.83919121719677,4621.93,1623.41,4615.66,1601.31
-1102935205,2010682070,9719108000,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,122.19356656521609,195.89965926347236,4655.4,1740.91,4621.93,1623.41
-1109771198#0,10152611637,429515276,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,31.261233638541746,3.272584538509534,3841.01,2780.24,3842.79,2811.37
-1109771198#1,1687286936,10152611637,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,8.602144879647195,24.21546392282511,3837.52,2772.48,3841.01,2780.24
-1109772709,431325283,2023683308,12,highway.primary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,115.71205394570617,271.1092273453506,5411.55,1900.84,5295.86,1903.08
-1109772710,10152611760,10152611759,12,highway.primary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,153.259409219072,255.25738860773046,4942.57,1854.5,4794.36,1815.5
-1119243207,423389699,441268024,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,117.8075967232483,72.22028906221033,2830.1,3401.49,2935.69,3435.35
-1119245056,6333711041,430938925,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,59.106927681956236,291.69520630948284,3921.9,3703.88,3866.98,3725.73
-1119245057#0,423425137,423425148,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,115.26635247033056,171.96868461793224,4116.05,3529.2,4131.75,3417.93
-1119245057#1,423425135,423425137,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,65.30787660167876,188.54032765583898,4125.73,3593.66,4116.05,3529.2
-1119245057#2,3340881679,423425135,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,142.36024343062437,185.1543055616208,4138.39,3734.01,4125.73,3593.66
-1119245057#3,3340881694,3340881679,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,49.468186956898634,191.25312525536145,4148.04,3782.51,4138.39,3734.01
-1119245058,2513116050,3340881694,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,72.85378566330513,202.15715201928688,4175.45,3849.82,4148.04,3782.51
-1119245060#0,3340881462,430894463,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,34.452495925385314,289.9461240720981,4095.94,3435.71,4063.59,3447.45
-1119245060#1,423425148,3340881462,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,39.981051762053525,296.40482849765044,4131.75,3417.93,4095.94,3435.71
-1119245060#2,8916107651,423425148,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,16.91816183868641,296.73165223401435,4146.86,3410.32,4131.75,3417.93
-1119245061,3340881416,8916107651,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,76.19181985285528,297.2881470723169,4214.57,3375.39,4146.86,3410.32
-1119245070,429653579,430895473,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,15.52998171630201,1.697702633917288,3985.8,2882.23,3986.26,2897.75
-1119245071,430895473,430901229,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,71.8830604869028,7.546184944476352,3986.26,2897.75,3995.7,2969.01
-1119245074,1687165259,1687165275,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,63.3758896569728,142.4931871303163,2980.83,3248.98,3019.39,3198.74
-1119245692,621155637,423353694,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,50.99624050237081,241.96808058959272,4134.0,2785.61,4101.0,2768.04
-1119245693,7257331823,621155637,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,8.311245394043004,287.65012421992986,4141.92,2783.09,4134.0,2785.61
-1162674260,9972395328,431334400,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,3.8667428153420538,350.17227598883886,4309.93,2418.73,4309.27,2422.54
-1165362989,3254769439,10839457927,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,20.64810067290714,336.11639973571795,2634.77,2903.39,2626.41,2922.27
-1165362990#0,3204645334,10839457934,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,18.43872533837486,333.629500806989,2620.98,2934.55,2612.79,2951.07
-1165362990#1,10839457927,3204645334,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,13.426961681631594,336.14582868886595,2626.41,2922.27,2620.98,2934.55
-1237369283,3204643489,418600284,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,104.44727881681564,244.87055726899828,2450.23,2817.25,2357.79,2773.89
-1237371405,11492610792,3204645804,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,7.763710453127179,271.7714697400325,2544.74,2947.48,2536.98,2947.72
-1238426234#0,3469068912,418609058,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,47.507863472650186,191.1297725695164,3046.14,2192.13,3036.99,2145.62
-1238426236,1767323500,1767322357,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,24.411513676951962,68.16372316392079,3508.1,1085.03,3530.76,1094.11
-1238426237,1767285014,5263712552,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,731.4994919384118,57.313644438899814,2574.65,692.39,3185.9,1084.6
-1238426239,1767302209,1767302227,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,395.53879178428457,14.169791995634625,2975.63,377.15,3066.82,738.33
-1238426242,1767344724,1767322317,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,32.0992347704192,350.53180852550145,3659.49,1265.44,3654.21,1297.1
-1238426243,5777445927,1767344707,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,7.3046902740636295,292.879311207509,3970.39,1579.96,3963.66,1582.8
-1238948418#0,9897124748,2511985648,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,1.4305593311708669,321.52784100789194,3127.68,1227.02,3126.79,1228.14
-1239117016#0,3471018057,3974640291,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,11.384537759610478,220.47574197545924,4674.53,2531.86,4667.14,2523.2
-1239117016#1,3974576101,3471018057,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,43.19942823695719,218.83587296358715,4701.62,2565.51,4674.53,2531.86
-1239117016#2,4980006045,3974576101,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,255.8888681522713,235.783092484394,4909.64,2706.97,4701.62,2565.51
-1239117018,2962483937,1687124670,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,336.2539315396445,160.96564798923714,3075.34,4948.46,3182.6,4637.56
-1239117021,1687124701,11510936199,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,177.97215029092195,321.08460187845697,3344.23,4370.38,3232.51,4508.76
-1239117024,429478908,3974531856,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,650.4988217904388,214.92043553756653,3672.23,2081.42,3304.01,1553.99
-1239117045,429520308,3262396875,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,251.13835425980125,46.68330058661371,4009.44,1633.31,4191.06,1804.56
-1299820133,430901229,430912564,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,182.87786681561568,8.031294471104502,3995.7,2969.01,4021.25,3150.09
-1339478328#0,3471386122,429504429,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,tertiary,141.40361820684794,92.97551787554823,3232.03,2738.29,3373.24,2730.95
-1339478331#1,12390308742,2511999107,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,92.12463438721664,221.95531499315038,2809.52,1625.34,2747.93,1556.83
-1339478332#0,3974531848,1766515560,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,14.467377094691441,39.333990671817844,2606.95,1390.29,2616.12,1401.48
-1339478332#1,12390308745,3974531848,12,highway.primary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,primary,25.273632505043516,38.75186096283278,2591.13,1370.58,2606.95,1390.29
-1339510606#0,2513116129,2513116272,11,highway.secondary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,79.97570821123814,339.91100452970045,5368.3,4272.88,5340.83,4347.99
-1339510606#1,12390642059,2513116129,11,highway.secondary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,383.3966749497651,1.719732358271358,5356.92,3893.85,5368.3,4272.88
-1339510609#0,429655331,12390642063,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,28.58005101929482,61.36535333486012,4488.68,2614.16,4513.57,2627.75
-1339510610,429655333,12390642064,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,43.09755851921651,266.2336952277281,4437.02,2618.02,4394.03,2615.19
-1371061454,1767325521,1767335324,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,15.790392648696374,98.66891825203908,3389.93,1084.2,3405.54,1081.82
-13937774#0,423359653,3204643489,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,40.33901807723713,253.60323477682118,2488.87,2828.62,2450.23,2817.25
-13937774#1,423361227,423359653,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,85.86098311082753,252.38833811769888,2570.05,2854.39,2488.87,2828.62
-139832421#0,1532578485,5318265357,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,721.9699188788649,26.460542136481763,5432.36,3858.99,5745.9,4488.94
-139832421#1,1532579486,1532578485,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,89.68136090972453,90.96552904958975,5349.29,3860.39,5432.36,3858.99
-153730003#0,1663572730,1663572789,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,43.961961967137015,173.86274405073823,4475.04,2271.04,4479.74,2227.33
-153730003#1,1663572707,1663572730,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,29.47066677223313,160.55672988905178,4465.23,2298.83,4475.04,2271.04
-153730003#2,1663572697,1663572707,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,16.056416163016838,150.03381513184917,4457.21,2312.74,4465.23,2298.83
-153730008#0,1663572768,429520296,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,48.17685974521396,34.28687697720886,4254.32,2040.66,4281.32,2080.26
-153730008#1,1663572830,1663572768,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,62.82880299482694,6.586903274125007,4247.23,1979.26,4254.32,2040.66
-153730008#2,429520299,1663572830,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,73.950042368336,340.3345907178985,4271.86,1910.34,4247.23,1979.26
-153730009#0,1663572713,1663572779,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,74.34837234955579,131.3013642982703,4566.95,2297.38,4612.9,2257.01
-153730009#1,1663572730,1663572713,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,95.60986251037006,74.00850736808866,4475.04,2271.04,4566.95,2297.38
-153730010#0,1663572771,1663572725,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.28632316018128,250.36174027755186,4562.14,2337.03,4541.15,2329.54
-153730010#1,1663572666,1663572771,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,16.32711854553655,250.3886662123065,4577.52,2342.51,4562.14,2337.03
-153730010#2,431336421,1663572666,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,80.0121022096033,142.71476714559446,4529.05,2406.17,4577.52,2342.51
-153730011,429520294,1663572898,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,68.50511235053727,252.7240179213125,4293.18,2122.62,4227.94,2102.33
-153730013#0,1663572633,1663572768,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,36.695565127137534,102.17654581977348,4218.45,2048.4,4254.32,2040.66
-153730013#1,1663572804,1663572633,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,18.435088825388988,102.18158524242546,4200.43,2052.29,4218.45,2048.4
-153730013#2,1663572742,1663572804,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.055647802774146,101.66656174404926,4178.83,2056.75,4200.43,2052.29
-153730014#0,1663572766,1663572582,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,31.329770187475027,132.65873879793344,4205.65,1984.42,4228.69,1963.19
-153730014#1,1663572804,1663572766,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,72.8670629434709,175.60194020943118,4200.43,2052.29,4205.65,1984.42
-153730015#0,1663572680,429520292,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,9.684152002111649,328.08241673558126,4341.48,2216.06,4336.36,2224.28
-153730015#1,3974640257,1663572680,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,47.40502188587191,356.37164436467236,4344.48,2168.75,4341.48,2216.06
-153730015#2,3974637330,3974640257,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,260.45230894745083,354.9535529103557,4367.39,1909.31,4344.48,2168.75
-153730015#3,1663572827,3974637330,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,81.92894575877426,355.8421332145824,4373.33,1827.6,4367.39,1909.31
-153730016#0,1663572674,1663572641,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,62.38247439442283,102.35261212963968,4402.29,2206.54,4462.93,2193.26
-153730016#1,1663572576,1663572674,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,12.957113876168375,132.05952241321313,4392.67,2215.22,4402.29,2206.54
-153730017,1663572633,1663572766,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,65.24783827836757,191.31337676493976,4218.45,2048.4,4205.65,1984.42
-153730018,1663572709,1663572719,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,211.4554200204927,280.3450218688062,4237.99,1863.57,4077.37,1892.89
-153730020#0,1663572719,1663572590,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,127.37197223085221,240.11145190817786,4077.37,1892.89,3967.15,1829.54
-153730020#1,1663572887,1663572719,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,161.59720808544864,246.60194676178128,4221.72,1955.35,4077.37,1892.89
-153730020#2,1663572582,1663572887,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,10.49030504799518,221.63807510124346,4228.69,1963.19,4221.72,1955.35
-153730020#3,1663572830,1663572582,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,24.5352093938486,229.08208733831412,4247.23,1979.26,4228.69,1963.19
-153730022#0,3974576076,1663572894,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,168.67357419394762,143.08563011966828,4527.84,2234.27,4625.34,2104.48
-153730022#1,1663572789,3974576076,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,48.74769093100164,81.78986634483101,4479.74,2227.33,4527.84,2234.27
-153730022#2,1663572576,1663572789,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,87.90811680385352,82.08189843652247,4392.67,2215.22,4479.74,2227.33
-153730022#3,1663572680,1663572576,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,51.896271738943085,90.94010813900576,4341.48,2216.06,4392.67,2215.22
-153730023,1663572674,1663572648,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,33.699735904009756,181.37728234191934,4402.29,2206.54,4401.48,2172.85
-153730925#0,1663593067,1663593092,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,53.60150815933538,356.84035971319963,3976.56,2439.97,3973.61,2493.41
-153730925#1,1663593057,1663593067,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,47.526382147182176,354.53052202902876,3981.09,2392.66,3976.56,2439.97
-153730928,429482598,429483201,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,155.71489794665388,132.81130151761784,3584.64,2582.26,3698.87,2476.44
-153730933#0,1663593092,1663593013,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,74.82213868119842,269.8388848154268,3973.61,2493.41,3898.93,2493.2
-153730933#1,1663593129,1663593092,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,3.3173031215129485,273.80258580706715,3976.92,2493.19,3973.61,2493.41
-153730934,423353680,1663593112,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,30.04815468543789,274.389930668325,4078.05,2567.87,4048.09,2570.17
-153730935,1663593224,1697838087,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,96.17324594104805,26.906013554754395,4141.0,2650.05,4184.19,2735.16
-153730937,2759219803,1663593188,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,87.1152016509566,25.561001130735235,4059.48,2473.42,4096.92,2551.7
-153730938,1663593129,1663593204,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,123.79595130928833,296.96410837876334,3976.92,2493.19,3897.37,2533.66
-153730939#0,1663593224,1663593059,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,52.85337453748807,296.1093319606433,4141.0,2650.05,4093.54,2673.31
-153730939#1,1663593156,1663593224,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,55.20047792185612,290.8188401485511,4192.52,2630.46,4141.0,2650.05
-153732959#0,9897114272,1663642153,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,113.94699450146788,251.19468718711744,2983.08,1210.76,2878.42,1175.12
-153732959#1,9897114285,9897114272,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,61.03284115949379,237.6144881529943,3034.62,1243.45,2983.08,1210.76
-153732960#0,1663642190,429519302,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,77.99267754708907,346.0350332005526,4012.83,2068.6,3994.01,2144.28
-153732962#0,3340880853,1663642190,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,37.285774767329166,256.3327283502256,4049.06,2077.41,4012.83,2068.6
-153732962#1,3340880858,3340880853,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,10.048368026699949,256.24034516082435,4058.82,2079.8,4049.06,2077.41
-153732962#2,3340880859,3340880858,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,9.156008955871108,256.4190776450666,4067.72,2081.95,4058.82,2079.8
-153732963#0,1663642195,1663642193,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,48.75936422883311,75.94665671776477,4151.33,2119.65,4198.63,2131.49
-153732963#1,1663642233,1663642195,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,67.21054127858737,110.51005343353103,4088.51,2143.15,4151.33,2119.65
-153732963#2,1663642179,1663642233,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,45.071933638768684,132.95596772179874,4057.75,2171.79,4088.51,2143.15
-153732965,1663642213,1663642191,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,42.88242588390729,223.46786386359537,4351.88,2322.31,4329.32,2298.51
-153732966,1663642177,1663642174,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,87.81057453405015,119.62753012225102,4091.24,2223.33,4167.57,2179.92
-153732967#0,1663642147,1663572680,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,29.154898387749622,220.2559765939053,4360.32,2238.31,4341.48,2216.06
-153732967#1,1663642161,1663642147,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,77.07390854031635,234.51188017283602,4408.47,2272.64,4360.32,2238.31
-153732967#2,1663642147,1663642161,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,89.47647089898184,54.511880172836015,4360.32,2238.31,4408.47,2272.64
-156456329,1687073956,1687073965,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,71.25673262143866,153.7226841542472,2859.85,3090.66,2891.39,3026.78
-156460671,1687124711,430958141,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,16.768446558939065,174.11261057252136,4182.67,3262.2,4184.39,3245.52
-156460672,1687124690,1687124809,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,90.44747702396135,60.78234631399408,3362.9,3926.31,3441.84,3970.46
-156460677,1687124708,1687124747,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,185.86976754504434,359.74921088326624,3358.72,3951.23,3357.96,4124.86
-156460680#0,1687124785,1687124711,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,19.472935819063427,170.83296434202987,4179.57,3281.41,4182.67,3262.2
-156460680#1,8916107651,1687124785,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,132.99775851098758,165.76209628252343,4146.86,3410.32,4179.57,3281.41
